Input,Output 1,Output 2
44.125000,dfb267ae,5f3267ae
44.187500,dfb26bc2,5f326bc2
44.250000,dfb26fe6,5f326fe6
44.312500,dfb27419,5f327419
44.375000,dfb2785b,5f32785b
44.437500,dfb27cac,5f327cac
44.500000,dfb2810c,5f32810c
44.562500,dfb2857b,5f32857b
44.625000,dfb289f8,5f3289f8
44.687500,dfb28e85,5f328e85
44.750000,dfb29320,5f329320
44.812500,dfb297ca,5f3297ca
44.875000,dfb29c82,5f329c82
44.937500,dfb2a149,5f32a149
45.000000,dfb2a61f,5f32a61f
45.062500,dfb2ab03,5f32ab03
45.125000,dfb2aff5,5f32aff5
45.187500,dfb2b4f6,5f32b4f6
45.250000,dfb2ba05,5f32ba05
